Date,Store,Region,Category,Product,Revenue,Quantity,Cost
2022-10-10,Store A,East,Furniture,Table,1000.0,1,688.71
2022-05-16,Store A,East,Furniture,Table,2000.0,5,1255.42
2022-06-13,Store C,South,Office Supplies,Paper,100.0,5,67.23
2023-01-16,Store C,South,Electronics,Mouse,240.0,4,154.14
2023-09-25,Store D,Central,Office Supplies,Paper,50.0,1,31.55
2022-02-07,Store C,South,Office Supplies,Paper,50.0,1,
2023-12-25,Store A,East,Electronics,Laptop,5000.0,2,3385.74
2023-09-04,Store A,East,Electronics,Mouse,225.0,3,144.6
2022-04-04,Store D,Central,Office Supplies,Pen,50.0,5,31.92
2022-08-29,Store A,East,Electronics,Mouse,300.0,4,
2022-11-28,Store D,Central,Electronics,Keyboard,400.0,2,262.47
2023-09-04,Store D,Central,Furniture,Desk,3000.0,5,1935.97
2023-12-18,Store A,East,Electronics,Keyboard,266.67,2,167.96
2023-01-02,Store B,West,Furniture,Shelf,900.0,3,608.64
2022-01-17,Store A,East,Office Supplies,Stapler,80.0,5,49.05
2022-05-30,Store A,East,Furniture,Table,2000.0,2,1322.06
2022-10-31,Store A,East,Office Supplies,Pen,33.33,2,22.21
2023-09-11,Store D,Central,Electronics,Monitor,750.0,1,524.57
18/09/2023,Store D,Central,Furniture,Desk,3000.0,3,2072.76
2022-03-14,Store B,West,Electronics,Keyboard,400.0,2,250.32
2022-05-30,Store A,East,Office Supplies,Stapler,80.0,4,54.24
2023-05-29,Store A,East,Office Supplies,Stapler,80.0,5,
2022-05-09,Store C,South,Electronics,Mouse,240.0,4,156.12
2023-11-13,Store D,Central,Electronics,Laptop,5000.0,5,3190.57
2023-04-24,Store C,South,Furniture,Table,2000.0,3,
2022-02-28,Store D,Central,Electronics,Keyboard,400.0,4,266.88
2023-10-30,Store B,West,Furniture,Desk,2250.0,3,
2022-07-11,Store C,South,Electronics,Keyboard,400.0,5,260.5
2022-11-21,Store A,East,Office Supplies,Stapler,80.0,4,53.82
2023-03-27,Store C,South,Electronics,Monitor,1125.0,3,731.22
2023-06-12,Store A,East,Furniture,Desk,2400.0,4,1470.4
2023-01-02,Store D,Central,Furniture,Shelf,600.0,1,
02/10/2023,Store A,East,Furniture,Table,2000.0,5,1237.73
2023-02-27,Store A,East,Office Supplies,Folder,56.25,3,37.85
2023-02-13,Store D,Central,Electronics,Keyboard,400.0,5,256.15
2023-09-18,Store C,South,Office Supplies,Pen,50.0,5,32.3
2022-06-06,Store B,West,Furniture,Table,1600.0,4,
2023-06-19,Store C,South,Electronics,Laptop,5000.0,5,3491.8
20/11/2023,Store D,Central,Electronics,Laptop,5000.0,2,3372.48
2023-01-02,Store B,West,Electronics,Mouse,225.0,3,138.42
2022-07-25,Store C,South,Furniture,Shelf,600.0,1,361.4
2022-02-14,Store C,South,Office Supplies,Paper,50.0,1,32.74
2023-12-11,Store B,West,Electronics,Keyboard,266.67,2,184.37
2023-07-31,Store B,West,Office Supplies,Stapler,80.0,5,54.17
07/08/2023,Store C,South,Office Supplies,Stapler,64.0,4,39.21
2022-02-14,Store A,East,Electronics,Mouse,300.0,5,193.14
2022-08-22,Store C,South,Office Supplies,Pen,37.5,3,23.36
2023-09-25,Store B,West,Furniture,Chair,2000.0,4,1317.72
2023-11-06,Store B,West,Furniture,Chair,1250.0,1,786.38
2022-06-20,Store B,West,Office Supplies,Paper,100.0,4,61.09
2023-12-04,Store D,Central,Electronics,Laptop,4000.0,4,
2023-05-01,Store A,East,Furniture,Table,2000.0,4,1249.69
2023-04-17,Store D,Central,Furniture,Desk,1500.0,1,902.26
2023-08-21,Store A,East,Office Supplies,Stapler,60.0,3,38.44
2022-11-07,Store C,South,Electronics,Monitor,1200.0,4,738.63
2023-12-04,Store A,East,Electronics,Keyboard,400.0,5,260.98
2023-10-02,Store A,East,Office Supplies,Folder,56.25,3,
2022-03-14,Store C,South,Office Supplies,Paper,66.67,2,43.63
2022-11-21,Store A,East,Electronics,Keyboard,400.0,5,279.1
2022-07-18,Store C,South,Electronics,Keyboard,200.0,1,131.73
2023-05-29,Store C,South,Furniture,Desk,3000.0,2,2029.09
2023-07-31,Store A,East,Office Supplies,Folder,50.0,2,30.71
2023-06-05,Store C,South,Office Supplies,Paper,75.0,3,46.3
2023-08-07,Store B,West,Electronics,Monitor,1500.0,2,
2023-07-31,Store C,South,Furniture,Shelf,1200.0,5,780.41
2022-08-22,Store B,West,Office Supplies,Paper,100.0,2,61.84
2022-12-12,Store D,Central,Electronics,Keyboard,400.0,5,241.25
17/07/2023,Store D,Central,Furniture,Chair,2500.0,4,1590.47
2022-12-26,Store B,West,Office Supplies,Paper,80.0,4,51.42
2023-11-27,Store C,South,Furniture,Desk,3000.0,2,2039.22
2022-08-22,Store A,East,Furniture,Table,2000.0,4,1313.41
2023-03-27,Store B,West,Furniture,Shelf,1200.0,2,729.45
2022-11-28,Store C,South,Office Supplies,Pen,37.5,3,25.03
2023-01-16,Store C,South,Electronics,Laptop,5000.0,3,
2023-12-18,Store B,West,Furniture,Chair,2500.0,3,1702.87
2023-02-20,Store D,Central,Office Supplies,Pen,33.33,2,21.47
2022-08-15,Store B,West,Furniture,Desk,1500.0,1,1030.37
2022-12-12,Store D,Central,Furniture,Table,2000.0,3,1232.15
2023-01-02,Store C,South,Furniture,Desk,1500.0,1,1016.13
2023-07-31,Store C,South,Office Supplies,Stapler,80.0,4,
2022-12-19,Store A,East,Office Supplies,Paper,100.0,3,61.12
2023-04-10,Store C,South,Furniture,Chair,2500.0,4,1678.98
2023-12-04,Store D,Central,Furniture,Chair,1666.67,2,1017.94
2022-06-27,Store B,West,Office Supplies,Paper,100.0,4,60.79
2023-08-14,Store B,West,Office Supplies,Stapler,80.0,5,51.48
2023-05-15,Store B,West,Office Supplies,Paper,66.67,2,44.64
2023-10-23,Store A,East,Electronics,Laptop,4000.0,4,2577.21
2023-07-10,Store C,South,Electronics,Laptop,3333.33,2,2003.77
2022-04-04,Store D,Central,Furniture,Shelf,1200.0,4,747.33
2023-06-05,Store B,West,Furniture,Table,1333.33,2,836.93
2022-03-14,Store B,West,Office Supplies,Paper,100.0,3,64.67
2022-06-13,Store A,East,Office Supplies,Stapler,40.0,1,
2022-02-21,Store C,South,Furniture,Desk,0.0,1,955.0
2023-03-20,Store D,Central,Furniture,Chair,2500.0,3,1665.15
2023-12-11,Store A,East,Electronics,Laptop,3750.0,3,2599.46
2022-05-02,Store B,West,Furniture,Desk,1500.0,1,
2023-07-03,Store B,West,Electronics,Mouse,300.0,2,188.98
04/04/2022,Store A,East,Furniture,Chair,1875.0,3,1238.62
2022-03-21,Store D,Central,Furniture,Desk,2250.0,3,1505.19
2022-04-18,Store C,South,Electronics,Mouse,150.0,1,103.94
2022-03-21,Store A,East,Electronics,Monitor,1000.0,2,628.24
2023-02-27,Store D,Central,Electronics,Mouse,300.0,2,188.33
2023-01-09,Store B,West,Office Supplies,Paper,80.0,4,55.02
2022-12-12,Store B,West,Office Supplies,Folder,56.25,3,38.7
2023-08-28,Store A,East,Furniture,Chair,2500.0,5,1516.28
2023-07-03,Store C,South,Electronics,Laptop,2500.0,1,1552.48
2022-05-09,Store D,Central,Electronics,Laptop,5000.0,5,3463.62
2023-03-20,Store C,South,Furniture,Shelf,960.0,4,606.5
2023-11-20,Store C,South,Furniture,Shelf,800.0,2,519.49
2022-09-05,Store D,Central,Furniture,Chair,2500.0,2,
2023-02-20,Store B,West,Office Supplies,Paper,75.0,3,47.6
2023-11-13,Store D,Central,Office Supplies,Pen,50.0,5,33.64
2022-09-19,  Store A  ,East,Office Supplies ,Paper,100.0,5,67.93
2022-05-02,Store C,South,Furniture,Desk,3000.0,2,1893.98
2023-10-09,  Store B  ,West,Furniture ,Chair,1666.67,2,1120.0
2022-04-04,Store B,West,Furniture,Table,1500.0,3,974.41
2022-08-08,Store D,Central,Electronics,Laptop,5000.0,4,3137.97
2023-09-04,  Store D  ,Central,Office Supplies ,Paper,75.0,3,48.48
2023-09-18,Store A,East,Office Supplies,Folder,60.0,4,40.59
2022-11-28,Store D,Central,Furniture,Shelf,1200.0,3,755.57
12/06/2023,Store D,Central,Furniture,Desk,2000.0,2,1353.06
2022-05-16,Store D,Central,Electronics,Keyboard,200.0,1,138.91
2023-08-14,Store C,South,Furniture,Table,2000.0,3,
2022-03-14,Store C,South,Office Supplies,Paper,50.0,1,34.69
2023-03-27,Store B,West,Office Supplies,Folder,75.0,3,49.89
26/06/2023,Store D,Central,Electronics,Laptop,5000.0,4,3410.71
2022-10-31,Store A,East,Furniture,Chair,1875.0,3,1213.16
2022-07-11,Store A,East,Office Supplies,Pen,37.5,3,23.63
28/03/2022,Store D,Central,Electronics,Laptop,5000.0,4,3042.17
2022-09-26,Store C,South,Office Supplies,Pen,37.5,3,23.61
2022-10-10,Store A,East,Furniture,Chair,2500.0,4,1566.16
2022-12-12,Store D,Central,Office Supplies,Pen,50.0,3,31.86
2023-05-29,Store B,West,Electronics,Mouse,300.0,4,182.2
2023-01-02,Store C,South,Electronics,Mouse,300.0,4,187.35
2023-06-19,Store B,West,Office Supplies,Pen,25.0,1,16.4
2022-02-07,Store A,East,Electronics,Laptop,2500.0,1,1656.5
2022-03-07,Store D,Central,Electronics,Laptop,5000.0,3,3306.95
2022-05-09,Store D,Central,Electronics,Mouse,300.0,2,201.87
2022-11-07,Store C,South,Furniture,Desk,1500.0,1,960.5
2022-10-03,Store C,South,Electronics,Monitor,1500.0,2,988.76
2022-10-03,Store C,South,Furniture,Shelf,1200.0,2,775.34
2022-09-05,Store B,West,Office Supplies,Pen,50.0,4,33.97
2023-07-24,Store B,West,Office Supplies,Stapler,80.0,3,
2022-07-11,Store B,West,Electronics,Monitor,1500.0,3,936.73
2023-03-06,Store A,East,Office Supplies,Folder,75.0,5,51.88
2023-05-15,Store B,West,Electronics,Monitor,1200.0,4,838.88
2023-09-04,Store C,South,Furniture,Table,1500.0,3,
2022-09-26,Store B,West,Office Supplies,Stapler,64.0,4,44.0
2022-06-13,Store B,West,Electronics,Keyboard,266.67,2,
2022-01-17,Store A,East,Furniture,Desk,3000.0,2,1931.27
2022-02-28,  Store A  ,East,Office Supplies ,Paper,50.0,1,30.04
2022-08-29,Store D,Central,Electronics,Monitor,1500.0,4,1032.89
2023-11-20,Store D,Central,Office Supplies,Stapler,53.33,2,32.81
2023-11-20,Store D,Central,Furniture,Table,1600.0,4,996.5
2023-01-30,Store B,West,Furniture,Desk,3000.0,3,1864.06
2023-03-06,Store C,South,Office Supplies,Stapler,60.0,3,39.67
2022-10-24,Store B,West,Furniture,Shelf,960.0,4,650.58
2023-05-01,Store D,Central,Office Supplies,Stapler,80.0,3,48.37
2022-06-20,Store A,East,Office Supplies,Folder,56.25,3,38.45
2022-05-09,Store C,South,Electronics,Laptop,4000.0,4,2540.3
2022-08-29,Store B,West,Furniture,Table,1500.0,3,1049.78
2023-01-02,Store C,South,Electronics,Mouse,300.0,5,194.44
2022-11-14,Store B,West,Office Supplies,Pen,50.0,5,34.87
2023-09-04,Store A,East,Electronics,Laptop,4000.0,4,2404.32
2022-07-18,Store C,South,Office Supplies,Stapler,80.0,3,
2023-01-30,Store A,East,Office Supplies,Stapler,80.0,5,52.45
2023-10-09,Store C,South,Office Supplies,Paper,50.0,1,33.72
2022-04-25,Store A,East,Office Supplies,Stapler,80.0,3,49.99
2023-09-11,Store C,South,Electronics,Laptop,3333.33,2,
2023-05-15,Store C,South,Furniture,Desk,3000.0,5,1927.07
27/03/2023,Store A,East,Office Supplies,Paper,100.0,2,69.69
2023-07-10,Store C,South,Electronics,Keyboard,320.0,4,199.43
2022-03-07,Store A,East,Electronics,Keyboard,200.0,1,124.87
2023-09-18,Store D,Central,Furniture,Chair,2500.0,4,1641.04
2022-02-07,Store B,West,Electronics,Keyboard,266.67,2,160.45
2022-12-19,Store D,Central,Furniture,Shelf,900.0,3,552.09
2023-05-15,Store C,South,Electronics,Monitor,1000.0,2,672.34
2023-10-23,Store C,South,Electronics,Keyboard,400.0,3,252.99
2023-01-16,Store B,West,Furniture,Chair,1875.0,3,1215.04
2023-01-09,Store B,West,Electronics,Laptop,3750.0,3,2498.52
2022-05-02,Store D,Central,Electronics,Mouse,300.0,2,204.73
2022-11-21,Store A,East,Office Supplies,Folder,37.5,1,24.75
2022-11-07,Store A,East,Office Supplies,Paper,100.0,5,67.97
2022-05-30,Store B,West,Electronics,Keyboard,200.0,1,131.04
2022-04-04,Store D,Central,Furniture,Table,2000.0,4,1320.36
2023-08-14,Store C,South,Furniture,Desk,2400.0,4,1582.09
