Date,Store,Region,Category,Product,Revenue,Quantity,Cost
2016-01-08,Store A,East,Electronics,Keyboard,400.0,4,271.1876400109108
2016-01-08,Store A,East,Electronics,Laptop,3750.0,3,2287.490593431751
2016-01-08,Store A,East,Electronics,Monitor,1500.0,5,921.430022688291
2016-01-08,Store A,East,Electronics,Monitor,1000.0,2,672.1998772266824
2016-01-08,Store A,East,Electronics,Mouse,240.0,4,167.8130774229892
2016-01-08,Store A,East,Electronics,Laptop,3333.3333333333335,2,2002.355435073239
2016-01-08,Store A,East,Electronics,Laptop,3750.0,3,2399.9478643932207
2016-01-08,Store A,East,Electronics,Keyboard,320.0,4,199.44868289376973
2016-01-08,Store A,East,Electronics,Mouse,300.0,4,191.47385973801485
2016-01-08,Store A,East,Electronics,Keyboard,400.0,4,274.3976162694528
2016-01-08,Store A,East,Electronics,Monitor,1125.0,3,676.492308130485
2016-01-08,Store A,East,Electronics,Laptop,5000.0,3,3192.708251269958
2016-01-08,Store A,East,Electronics,Mouse,240.0,4,149.78461118462428
2016-01-08,Store A,East,Electronics,Keyboard,200.0,1,136.66389823472326
2016-01-08,Store A,East,Electronics,Monitor,1500.0,5,927.3354131682094
2016-01-08,Store A,East,Electronics,Keyboard,266.6666666666667,2,165.54511100981836
2016-01-08,Store A,East,Electronics,Keyboard,300.0,3,205.26854323784994
2016-01-08,Store A,East,Electronics,Keyboard,400.0,3,277.0663546317517
2016-01-08,Store A,East,Electronics,Monitor,1500.0,5,985.5665961608098
2016-01-08,Store A,East,Electronics,Keyboard,320.0,4,219.02508315770086
2016-01-08,Store A,East,Electronics,Laptop,2500.0,1,1646.687791415962
2016-01-08,Store A,East,Electronics,Laptop,4000.0,4,2510.3996728090174
2016-01-08,Store A,East,Electronics,Laptop,5000.0,2,3007.818203370597
2016-01-08,Store A,East,Electronics,Laptop,5000.0,5,3146.744087359019
2016-01-08,Store A,East,Electronics,Monitor,1500.0,2,1006.7012929122974
2016-01-08,Store A,East,Electronics,Monitor,1500.0,2,1038.9451317770022
2016-01-08,Store A,East,Furniture,Desk,3000.0,2,1986.9894380482672
2016-01-08,Store A,East,Furniture,Chair,1875.0,3,1183.3091853216868
2016-01-08,Store A,East,Furniture,Table,2000.0,5,1327.5114942710427
2016-01-08,Store A,East,Furniture,Shelf,1200.0,4,734.3513095125961
2016-01-08,Store A,East,Furniture,Chair,2500.0,2,1640.319299392374
2016-01-08,Store A,East,Furniture,Shelf,900.0,3,587.0459546443794
2016-01-08,Store A,East,Furniture,Shelf,960.0,4,586.3575769913572
2016-01-08,Store A,East,Furniture,Shelf,1200.0,2,757.7227177291592
2016-01-08,Store A,East,Furniture,Table,2000.0,2,1249.858445829775
2016-01-08,Store A,East,Furniture,Desk,3000.0,2,1868.6394496474868
2016-01-08,Store A,East,Furniture,Table,2000.0,4,1232.244257450801
2016-01-08,Store A,East,Furniture,Chair,2500.0,3,1658.3509391276057
2016-01-08,Store A,East,Furniture,Chair,2000.0,4,1237.314011777207
2016-01-08,Store A,East,Furniture,Chair,2500.0,5,1701.8600387910155
2016-01-08,Store A,East,Furniture,Table,1333.3333333333333,2,814.6735899370235
2016-01-08,Store A,East,Furniture,Desk,3000.0,2,2045.404429776748
2016-01-08,Store A,East,Furniture,Desk,2000.0,2,1302.149460515513
2016-01-08,Store A,East,Furniture,Desk,1500.0,1,917.9798051000523
2016-01-08,Store A,East,Furniture,Table,1500.0,3,948.4804398031132
2016-01-08,Store A,East,Furniture,Table,2000.0,5,1272.7259204758589
2016-01-08,Store A,East,Furniture,Desk,2400.0,4,1500.4277509980875
2016-01-08,Store A,East,Furniture,Chair,2500.0,2,1571.210123594367
2016-01-08,Store A,East,Furniture,Desk,2000.0,2,1300.5358046457723
2016-01-08,Store A,East,Furniture,Chair,2000.0,4,1381.6531771933307
2016-01-08,Store A,East,Furniture,Shelf,1200.0,2,778.7343312333076
2016-01-08,Store A,East,Furniture,Table,2000.0,4,1334.4271094811756
2016-01-08,Store A,East,Furniture,Shelf,600.0,1,403.6929809167116
2016-01-08,Store A,East,Furniture,Table,1333.3333333333333,2,884.4706281014526
2016-01-08,Store A,East,Furniture,Shelf,1200.0,5,820.2362994707084
2016-01-08,Store A,East,Office Supplies,Paper,100.0,4,65.90892943188241
2016-01-08,Store A,East,Office Supplies,Folder,50.0,2,32.560465291496406
2016-01-08,Store A,East,Office Supplies,Folder,56.25,3,34.73081116315308
2016-01-08,Store A,East,Office Supplies,Pen,37.5,3,26.012737457762753
2016-01-08,Store A,East,Office Supplies,Pen,50.0,2,30.567367606202943
2016-01-08,Store A,East,Office Supplies,Folder,75.0,3,46.934562207863664
2016-01-08,Store A,East,Office Supplies,Stapler,64.0,4,41.95328519423656
2016-01-08,Store A,East,Office Supplies,Stapler,40.0,1,24.372411071223596
2016-01-08,Store A,East,Office Supplies,Stapler,80.0,5,53.06481165818614
2016-01-08,Store A,East,Office Supplies,Pen,37.5,3,25.222333795763397
2016-01-08,Store A,East,Office Supplies,Folder,75.0,3,50.84906659393217
2016-01-08,Store A,East,Office Supplies,Stapler,80.0,2,49.293029712756905
2016-01-08,Store A,East,Office Supplies,Paper,100.0,3,60.09197051616629
2016-01-08,Store A,East,Office Supplies,Paper,100.0,2,60.050615838462186
2016-01-08,Store A,East,Office Supplies,Stapler,53.333333333333336,2,35.6901077210277
2016-01-08,Store A,East,Office Supplies,Stapler,80.0,5,53.69743377078028
2016-01-08,Store A,East,Office Supplies,Pen,40.0,4,26.985965620472093
2016-01-08,Store A,East,Office Supplies,Stapler,80.0,4,53.260903138402746
2016-01-08,Store A,East,Office Supplies,Pen,50.0,4,31.838579015297164
2016-01-08,Store A,East,Office Supplies,Folder,50.0,2,34.86505277376223
2016-01-08,Store A,East,Office Supplies,Pen,40.0,4,26.52455450398905
2016-01-08,Store A,East,Office Supplies,Paper,50.0,1,32.88451942313179
2016-01-08,Store A,East,Office Supplies,Stapler,80.0,5,53.77961692209204
2016-01-08,Store A,East,Office Supplies,Folder,75.0,5,49.84104221930376
2016-01-08,Store A,East,Office Supplies,Pen,50.0,3,34.769642885012935
2016-01-08,Store A,East,Office Supplies,Pen,50.0,5,30.077283082644335
2016-01-08,Store A,East,Office Supplies,Stapler,53.333333333333336,2,37.155492368232906
2016-01-08,Store A,East,Office Supplies,Folder,75.0,5,47.20836669052189
2016-01-08,Store A,East,Office Supplies,Pen,25.0,1,15.792305012890692
2016-01-08,Store A,East,Office Supplies,Stapler,53.333333333333336,2,36.99282546219084
2016-01-08,Store B,West,Electronics,Monitor,1500.0,5,931.337807642304
2016-01-08,Store B,West,Electronics,Monitor,1500.0,3,938.1245473604607
2016-01-08,Store B,West,Electronics,Mouse,300.0,2,205.46009384774024
2016-01-08,Store B,West,Electronics,Laptop,5000.0,5,3276.4099884539537
2016-01-08,Store B,West,Electronics,Mouse,300.0,4,187.68620830783374
2016-01-08,Store B,West,Electronics,Keyboard,400.0,3,240.20739451095946
2016-01-08,Store B,West,Electronics,Keyboard,400.0,2,242.8376366799971
2016-01-08,Store B,West,Electronics,Mouse,300.0,5,206.5985144685198
2016-01-08,Store B,West,Electronics,Monitor,1000.0,2,643.8474123018086
2016-01-08,Store B,West,Electronics,Monitor,750.0,1,461.62812125458083
2016-01-08,Store B,West,Electronics,Mouse,200.0,2,137.2080923662335
2016-01-08,Store B,West,Electronics,Laptop,3333.3333333333335,2,2101.0885048910745
2016-01-08,Store B,West,Electronics,Monitor,750.0,1,512.0901752840691
2016-01-08,Store B,West,Electronics,Keyboard,200.0,1,129.14530323227456
2016-01-08,Store B,West,Electronics,Mouse,240.0,4,153.87249372136029
2016-01-08,Store B,West,Electronics,Monitor,1500.0,5,919.9118133364456
2016-01-08,Store B,West,Electronics,Mouse,300.0,3,181.23202550303625
2016-01-08,Store B,West,Electronics,Keyboard,320.0,4,215.8093645759717
2016-01-08,Store B,West,Electronics,Mouse,150.0,1,91.21309449925796
2016-01-08,Store B,West,Electronics,Monitor,1500.0,2,908.7290393262665
2016-01-08,Store B,West,Electronics,Mouse,200.0,2,124.79574718314805
2016-01-08,Store B,West,Electronics,Mouse,300.0,5,208.03841992019127
2016-01-08,Store B,West,Electronics,Laptop,5000.0,4,3328.5556642500837
2016-01-08,Store B,West,Electronics,Laptop,5000.0,4,3023.858063845824
2016-01-08,Store B,West,Electronics,Mouse,150.0,1,91.80246971708462
2016-01-08,Store B,West,Electronics,Laptop,2500.0,1,1523.53924706714
2016-01-08,Store B,West,Electronics,Mouse,300.0,5,185.25990809668016
2016-01-08,Store B,West,Electronics,Keyboard,320.0,4,217.82121526562491
2016-01-08,Store B,West,Electronics,Keyboard,266.6666666666667,2,177.32729820380703
2016-01-08,Store B,West,Furniture,Chair,2500.0,5,1511.326002443011
2016-01-08,Store B,West,Furniture,Shelf,900.0,3,585.282263272208
2016-01-08,Store B,West,Furniture,Desk,3000.0,2,1848.8803281244286
2016-01-08,Store B,West,Furniture,Table,2000.0,3,1205.3022621083242
